section,page,entity,relation
2.2,0,"('machine learning', 'Big Data', 'supervised deep learning', 'unsupervised learning', 'semi-supervised learning', 'neural networks', 'connectionism', 'artificial neural networks', 'hidden units', 'biological neurons', 'artificial intelligence problems', 'nervous system', 'computational systems', 'CPUs')","('machine learning', 'instance of', 'supervised deep learning')
('machine learning', 'instance of', 'unsupervised learning')
('machine learning', 'instance of', 'semi-supervised learning')
('neural networks', 'based on', 'connectionism')
('neural networks', 'instance of', 'artificial neural networks')
('biological neurons', 'part of', 'nervous system')
('artificial neural networks', 'part of', 'computational systems')"
2.2,1,"('MNIST dataset', 'CIFAR-10 dataset', 'Street View House Numbers dataset', 'ImageNet dataset', 'Sports-1M dataset', 'Canadian Hansard dataset', 'WMT 2014 English to French dataset')","('MNIST dataset', 'instance of', 'image classification dataset')
('CIFAR-10 dataset', 'instance of', 'image classification dataset')
('Street View House Numbers dataset', 'instance of', 'image classification dataset')
('ImageNet dataset', 'instance of', 'image classification dataset')
('Sports-1M dataset', 'instance of', 'video classification dataset')
('Canadian Hansard dataset', 'instance of', 'text classification dataset')
('WMT 2014 English to French dataset', 'instance of', 'machine translation dataset')"
2.3,0,"('MNIST dataset', 'National Institute of Standards and Technology', 'machine learning algorithms', 'handwritten digits', 'classification problem', 'deep learning research', 'techniques', 'Geoffrey Hinton', 'drosophila')","('MNIST dataset', 'instance of', 'classification problem')
('machine learning algorithms', 'use', 'MNIST dataset')
('handwritten digits', 'part of', 'MNIST dataset')
('classification problem', 'use', 'machine learning algorithms')
('deep learning research', 'facet of', 'machine learning algorithms')
('techniques', 'part of', 'machine learning algorithms')
('Geoffrey Hinton', 'instance of', 'deep learning research')"
2.4,0,"('deep learning', 'general purpose GPUs', 'network connectivity', 'software infrastructure', 'distributed computing', 'history of deep learning', 'accuracy', 'complexity', 'real-world impact', 'deep models', 'individual objects', 'neural networks', 'object recognition', 'categories of objects', 'ImageNet Large Scale Visual Recognition Challenge', 'top-5 error rate', 'convolutional network', 'speech recognition', 'error rates', 'pedestrian detection', 'image segmentation', 'traffic sign classification')","('deep learning', 'instance of', 'general purpose GPUs')
('deep learning', 'instance of', 'network connectivity')
('deep learning', 'instance of', 'software infrastructure')
('deep learning', 'instance of', 'distributed computing')
('deep learning', 'instance of', 'history of deep learning')
('deep learning', 'instance of', 'accuracy')
('deep learning', 'instance of', 'complexity')
('deep learning', 'instance of', 'real-world impact')
('deep learning', 'instance of', 'deep models')
('deep learning', 'instance of', 'individual objects')
('deep learning', 'instance of', 'neural networks')
('deep learning', 'instance of', 'object recognition')
('deep learning', 'instance of', 'categories of objects')
('deep learning', 'instance of', 'ImageNet Large Scale Visual Recognition Challenge')
('deep learning', 'instance of', 'top-5 error rate')
('deep learning', 'instance of', 'convolutional network')
('deep learning', 'instance of', 'speech recognition')
('deep learning', 'instance of', 'error rates')
('deep learning', 'instance of', 'pedestrian detection')
('deep learning', 'instance of', 'image segmentation')
('deep learning', 'instance of', 'traffic sign classification')"
2.4,1,"('artificial neural networks', 'cat', 'neurons', 'design consideration', 'smaller mammals', 'human brain', 'biological neural network', 'Adaptivelinear element', 'Neocognitron', 'GPU-accelerated convolutional network', 'DeepBoltzmann machine', 'Unsupervised convolutional network', 'GPU-accelerated multilayer perceptron', 'Distributed autoencoder', 'Multi-GPU convolutional network', 'COTSHPC unsupervised convolutional network', 'GoogLeNet')","('artificial neural networks', 'instance of', 'cat')
('artificial neural networks', 'instance of', 'neurons')
('artificial neural networks', 'instance of', 'design consideration')
('artificial neural networks', 'instance of', 'smaller mammals')
('artificial neural networks', 'subclass of', 'human brain')
('artificial neural networks', 'subclass of', 'biological neural network')
('artificial neural networks', 'subclass of', 'Adaptivelinear element')
('artificial neural networks', 'subclass of', 'Neocognitron')
('artificial neural networks', 'subclass of', 'GPU-accelerated convolutional network')
('artificial neural networks', 'subclass of', 'DeepBoltzmann machine')
('artificial neural networks', 'subclass of', 'Unsupervised convolutional network')
('artificial neural networks', 'subclass of', 'GPU-accelerated multilayer perceptron')
('artificial neural networks', 'subclass of', 'Distributed autoencoder')
('artificial neural networks', 'subclass of', 'Multi-GPU convolutional network')
('artificial neural networks', 'subclass of', 'COTSHPC unsupervised convolutional network')
('artificial neural networks', 'subclass of', 'GoogLeNet')"
2.5,0,"('deep learning', 'machine learning', 'neural networks', 'sequence-to-sequence learning', 'LSTM', 'machine translation', 'neural Turing machines', 'reinforcement learning', 'Theano', 'PyLearn2', 'Torch', 'DistBelief', 'Caffe', 'MXNet', 'TensorFlow', 'convolutional networks', 'object recognition', 'visual processing')","('deep learning', 'instance of', 'machine learning')
('LSTM', 'instance of', 'neural networks')
('sequence-to-sequence learning', 'instance of', 'neural networks')
('machine translation', 'instance of', 'neural networks')
('neural Turing machines', 'instance of', 'neural networks')
('Theano', 'instance of', 'machine learning')
('PyLearn2', 'instance of', 'machine learning')
('Torch', 'instance of', 'machine learning')
('DistBelief', 'instance of', 'machine learning')
('Caffe', 'instance of', 'machine learning')
('MXNet', 'instance of', 'machine learning')
('TensorFlow', 'instance of', 'machine learning')
('convolutional networks', 'instance of', 'neural networks')
('object recognition', 'instance of', 'visual processing')"
2.6,0,"('neuroscientists', 'Deep learning', 'pharmaceutical companies', 'new drugs', 'subatomic particles', 'microscope images', '3-D map', 'human brain', 'machine learning', 'human brain', 'statistics', 'applied math')","('Deep learning', 'part of', 'neuroscientists')"
2.6,1,"('hidden units', 'artificial neural networks', 'Perceptron', 'Adaptive linear element', 'Neocognitron', 'Early back-propagation network', 'Recurrent neural network for speech recognition', 'Multilayer perceptron for speech recognition', 'Mean field sigmoid belief network', 'LeNet-5', 'Echo state network', 'Deep belief network', 'GPU-accelerated convolutional network', 'Deep Boltzmann machine', 'GPU-accelerated deep belief network', 'Unsupervised convolutional network', 'GPU-accelerated multilayer perceptron', 'OMP-1 network', 'Distributed autoencoder', 'Multi-GPU convolutional network', 'COTSHPC unsupervised convolutional network', 'GoogLeNet')","('artificial neural networks', 'subclass of', 'Perceptron')
('artificial neural networks', 'subclass of', 'Adaptive linear element')
('artificial neural networks', 'subclass of', 'Neocognitron')
('artificial neural networks', 'subclass of', 'Early back-propagation network')
('artificial neural networks', 'subclass of', 'Recurrent neural network for speech recognition')
('artificial neural networks', 'subclass of', 'Multilayer perceptron for speech recognition')
('artificial neural networks', 'subclass of', 'Mean field sigmoid belief network')
('artificial neural networks', 'subclass of', 'LeNet-5')
('artificial neural networks', 'subclass of', 'Echo state network')
('artificial neural networks', 'subclass of', 'Deep belief network')
('artificial neural networks', 'subclass of', 'GPU-accelerated convolutional network')
('artificial neural networks', 'subclass of', 'Deep Boltzmann machine')
('artificial neural networks', 'subclass of', 'GPU-accelerated deep belief network')
('artificial neural networks', 'subclass of', 'Unsupervised convolutional network')
('artificial neural networks', 'subclass of', 'GPU-accelerated multilayer perceptron')
('artificial neural networks', 'subclass of', 'OMP-1 network')
('artificial neural networks', 'subclass of', 'Distributed autoencoder')
('artificial neural networks', 'subclass of', 'Multi-GPU convolutional network')
('artificial neural networks', 'subclass of', 'COTSHPC unsupervised convolutional network')
('artificial neural networks', 'subclass of', 'GoogLeNet')"
2.7,0,"('deep networks', 'ImageNet Large Scale Visual Recognition Challenge')","('deep networks', 'instance of', 'ImageNet Large Scale Visual Recognition Challenge')"
2.7,1,"('Applied Math', 'Machine Learning Basics')","('Applied Math', 'part of', 'Machine Learning Basics')"
2.8,0,"('mathematical concepts', 'deep learning', 'applied math', 'functions of many variables', 'highest and lowest points', 'degrees of belief', 'machine learning', 'model', 'cost function', 'training algorithm', 'deep learning algorithms')","('deep learning', 'instance of', 'machine learning')
('functions of many variables', 'part of', 'applied math')
('model', ' instance of', 'deep learning')
('cost function', 'part of', 'model')
('training algorithm', 'part of', 'model')
('deep learning algorithms', 'part of', 'model')"
2.9,0,"('linear algebra', 'mathematics', 'science', 'engineering', 'computer scientists', 'machine learning algorithms', 'deep learning algorithms', 'linear algebra prerequisites', 'formulas', 'resource', 'teaching linear algebra', 'important linear algebra topics')","('linear algebra', 'instance of', 'mathematics')
('mathematics', 'instance of', 'science')
('science', 'instance of', 'engineering')
('computer scientists', 'subject of', 'engineering')
('machine learning algorithms', 'subject of', 'engineering')
('deep learning algorithms', 'subject of', 'engineering')
('linear algebra prerequisites', 'based on', 'linear algebra')
('formulas', 'based on', 'linear algebra')
('resource', 'based on', 'linear algebra')
('teaching linear algebra', 'based on', 'linear algebra')
('important linear algebra topics', 'based on', 'linear algebra')"
2.10,0,"('Linear Algebra', 'real-valued scalar', 'natural number scalar', 'vector', 'R', 'Cartesian product', 'Rn', 'column', 'points in space', 'indices', 'set', 'complement', 'Matrices', '2-D array', 'real-valued matrix', 'height', 'width', 'horizontal coordinate', 'vertical coordinate', 'i-th row')","('Linear Algebra', 'instance of', 'Mathematics')
('real-valued scalar', 'instance of', 'scalar')
('natural number scalar', 'subclass of', 'scalar')
('vector', 'instance of', 'Mathematics')
('R', 'instance of', 'Real numbers')
('Cartesian product', 'instance of', 'set theory')
('Rn', 'instance of', 'set')
('column', 'instance of', 'vector')
('points in space', 'instance of', 'geometry')
('indices', 'instance of', 'Mathematics')
('set', 'instance of', 'Mathematics')
('complement', 'instance of', 'set theory')
('Matrices', 'instance of', 'Mathematics')
('2-D array', 'subclass of', 'Matrices')
('real-valued matrix', 'subclass of', 'Matrices')
('height', 'instance of', 'Mathematics')
('width', 'instance of', 'Mathematics')
('horizontal coordinate', 'instance of', 'geometry')
('vertical coordinate', 'instance of', 'geometry')
('i-th row', 'instance of', 'Mathematics')"
2.11,0,"('Linear Algebra', 'transpose', 'matrix', 'main diagonal', 'array', 'coordinates', 'tensor', 'operation', 'vector')","('Linear Algebra', 'transpose', 'matrix')
('matrix', 'main diagonal', 'array')
('array', 'coordinates', 'tensor')
('tensor', 'operation', 'vector')"
2.12,0,"('Linear Algebra', 'vector', 'transpose operator', 'standard column vector', 'scalar', 'matrix', 'single entry', 'transpose', 'add matrices', 'same shape', 'corresponding elements', 'add a scalar', 'multiply a matrix', 'performing that operation o...implicit copying', 'broadcasting', 'Multiplying Matrices', 'matrix product', 'third matrix', 'product is defined', 'number of columns', 'number of rows', 'shape', 'matrix product', 'individual elements', 'element-wise product', 'Hadamard product', 'dot product')","('Linear Algebra', 'part of', 'vector')
('transpose operator', 'instance of', 'standard column vector')
('scalar', 'instance of', 'matrix')
('single entry', 'part of', 'matrix')
('transpose', 'instance of', 'add matrices')
('same shape', 'part of', 'corresponding elements')
('add a scalar', 'part of', 'multiply a matrix')
('performing that operation on all elements', 'part of', 'broadcasting')
('Multiplying Matrices', 'part of', 'matrix product')
('third matrix', 'part of', 'product is defined')
('number of columns', 'part of', 'shape')
('number of rows', 'part of', 'shape')
('matrix product', 'instance of', 'individual elements')
('element-wise product', 'instance of', 'Hadamard product')
('dot product', 'instance of', 'matrix product')"
2.12,1,"('linear algebra', 'matrix product operations', 'mathematical analysis', 'matrix multiplication', 'distributive', 'associative', 'commutative', 'dot product', 'transpose of a matrix product', 'linear equations', 'known matrix', 'known vector', 'unknown variables', 'constraint')","('linear algebra', 'part of', 'matrix product operations')
('matrix multiplication', 'instance of', 'mathematical analysis')
('distributive', 'part of', 'matrix multiplication')
('associative', 'part of', 'matrix multiplication')
('commutative', 'part of', 'matrix multiplication')
('dot product', 'part of', 'matrix multiplication')
('transpose of a matrix product', 'part of', 'matrix multiplication')
('linear equations', 'part of', 'matrix multiplication')
('known matrix', 'part of', 'linear equations')
('known vector', 'part of', 'linear equations')
('unknown variables', 'part of', 'linear equations')
('constraint', 'part of', 'linear equations')"
2.12,2,"('identity matrix', 'matrix inversion', 'matrix-vector product notation', 'inverse matrices', 'identity matrix', 'matrix inverse')","('identity matrix', 'part of', 'matrix inversion')
('matrix-vector product notation', 'part of', 'matrix inversion')
('inverse matrices', 'part of', 'matrix inversion')
('identity matrix', 'instance of', 'matrix inverse')
('matrix inverse', 'instance of', 'matrix inversion')"
2.12,3,"('linear combination', 'span')","('linear combination', 'part of', 'span')
('span', 'instance of', 'linear combination')"
2.12,4,"('column space', 'range of A', 'linear dependence', 'linearly independent', 'redundancy', 'linear combination', 'span', 'singular matrix')","('column space', 'part of', 'range of A')
('linear dependence', 'part of', 'column space')
('linearly independent', 'part of', 'column space')
('redundancy', 'part of', 'column space')
('linear combination', 'instance of', 'span')
('span', 'instance of', 'column space')
('singular matrix', 'part of', 'column space')"
2.12,5,"('Linear Algebra', 'matrix inverses', 'size of a vector', 'machine learning', 'norms', 'Lp norm', 'Euclidean norm', 'squared L2 norm')","('matrix inverses', 'subclass of', 'Linear Algebra')
('size of a vector', 'based on', 'Linear Algebra')
('Lp norm', 'subclass of', 'norms')
('Euclidean norm', 'subclass of', 'norms')
('squared L2 norm', 'subclass of', 'norms')"
3.1,0,"('Linear Algebra', 'L1 norm', 'L0 norm', 'L norm', 'max norm', 'matrix', 'Frobenius norm', 'dot product', 'vectors', 'Diagonal matrices')","('Linear Algebra', 'subclass of', 'mathematics')
('L1 norm', 'subclass of', 'norm')
('L0 norm', 'subclass of', 'norm')
('L norm', 'subclass of', 'norm')
('max norm', 'subclass of', 'norm')
('matrix', 'subclass of', 'mathematics')
('Frobenius norm', 'subclass of', 'norm')
('dot product', 'use', 'vectors')
('vectors', 'subclass of', 'mathematics')
('Diagonal matrices', 'subclass of', 'matrix')"
3.1,1,"('Linear Algebra', 'diagonal matrix', 'identity matrix', 'computationally efficient', 'inverse', 'machine learning algorithm', 'arbitrary matrices', 'symmetric matrix', 'unit vector', 'orthogonal vectors', 'orthonormal', 'orthogonal matrix')","('Linear Algebra', 'subclass of', 'mathematics')
('diagonal matrix', 'subclass of', 'matrix')
('identity matrix', 'subclass of', 'diagonal matrix')
('computationally efficient', 'subclass of', 'property')
('inverse', 'subclass of', 'property')
('machine learning algorithm', 'subclass of', 'algorithm')
('arbitrary matrices', 'subclass of', 'matrix')
('symmetric matrix', 'subclass of', 'matrix')
('unit vector', 'subclass of', 'vector')
('orthogonal vectors', 'subclass of', 'vector')
('orthonormal', 'subclass of', 'property')
('orthogonal matrix', 'subclass of', 'matrix')"
3.3,0,"('Linear Algebra', 'orthogonal matrices', 'eigendecomposition', 'mathematical objects', 'constituent parts', 'prime factors', 'integers', 'matrix decomposition', 'eigenvectors', 'eigenvalues')","('orthogonal matrices', 'instance of', 'Linear Algebra')
('eigendecomposition', 'instance of', 'Linear Algebra')
('mathematical objects', 'based on', 'Linear Algebra')
('constituent parts', 'part of', 'mathematical objects')
('prime factors', 'based on', 'integers')
('matrix decomposition', 'based on', 'Linear Algebra')
('eigenvectors', 'based on', 'eigendecomposition')
('eigenvalues', 'based on', 'eigendecomposition')"
3.3,1,"('Linear Algebra', 'eigenvectors', 'eigenvalues', 'orthonormal eigenvectors', 'eigendecomposition', 'matrix decomposition', 'unit circle', 'matrix A', 'matrix V', 'vector λ', 'integer')","('eigenvectors', 'based on', 'Linear Algebra')
('eigenvalues', 'based on', 'Linear Algebra')
('orthonormal eigenvectors', 'facet of', 'eigenvectors')
('eigendecomposition', 'based on', 'Linear Algebra')
('matrix decomposition', 'based on', 'Linear Algebra')
('unit circle', 'instance of', 'Linear Algebra')
('matrix A', 'instance of', 'Linear Algebra')
('matrix V', 'instance of', 'Linear Algebra')
('vector λ', 'instance of', 'Linear Algebra')
('integer', 'subclass of', 'Linear Algebra')"
3.4,0,"('Linear Algebra', 'eigenvectors', 'eigenvalues', 'orthogonal matrix', 'diagonal matrix', 'eigendecomposition', 'quadratic expressions', 'positive definite', 'positive semidefinite', 'negative definite', 'negative semidefinite', 'Singular Value Decomposition', 'singular vectors', 'singular values')","('Linear Algebra', 'instance of', 'eigenvectors')
('Linear Algebra', 'instance of', 'eigenvalues')
('Linear Algebra', 'instance of', 'orthogonal matrix')
('Linear Algebra', 'instance of', 'diagonal matrix')
('Linear Algebra', 'instance of', 'eigendecomposition')
('Linear Algebra', 'instance of', 'quadratic expressions')
('Linear Algebra', 'instance of', 'positive definite')
('Linear Algebra', 'instance of', 'positive semidefinite')
('Linear Algebra', 'instance of', 'negative definite')
('Linear Algebra', 'instance of', 'negative semidefinite')
('Linear Algebra', 'instance of', 'Singular Value Decomposition')
('Linear Algebra', 'instance of', 'singular vectors')
('Linear Algebra', 'instance of', 'singular values')"
